Program Name,"Whatis",Program Type,Size in bytes
bibdoiadd,,symbolic link to /usr/share/texlive/texmf-dist/scripts/crossrefware/bibdoiadd.pl, 7518
bibmradd,,symbolic link to /usr/share/texlive/texmf-dist/scripts/crossrefware/bibmradd.pl, 4813
biburl2doi,,symbolic link to /usr/share/texlive/texmf-dist/scripts/crossrefware/biburl2doi.pl, 2816
bibzbladd,,symbolic link to /usr/share/texlive/texmf-dist/scripts/crossrefware/bibzbladd.pl, 4623
ltx2crossrefxml,,symbolic link to /usr/share/texlive/texmf-dist/scripts/crossrefware/ltx2crossrefxml.pl, 10988
luaotfload-tool,,symbolic link to /usr/share/texlive/texmf-dist/scripts/luaotfload/luaotfload-tool.lua, 52585
lwarpmk,,symbolic link to /usr/share/texlive/texmf-dist/scripts/lwarp/lwarpmk.lua, 27005
ps4pdf,,symbolic link to /usr/share/texlive/texmf-dist/scripts/pst-pdf/ps4pdf, 5122
simpdftex,,symbolic link to /usr/share/texlive/texmf-dist/scripts/simpdftex/simpdftex, 22096
allcm,,symbolic link to /usr/share/texlive/texmf-dist/scripts/texlive/allcm.sh, 3486
allneeded,,symbolic link to /usr/share/texlive/texmf-dist/scripts/texlive/allneeded.sh, 907
dvi2fax,,symbolic link to /usr/share/texlive/texmf-dist/scripts/texlive/dvi2fax.sh, 1102
dvired,,symbolic link to /usr/share/texlive/texmf-dist/scripts/texlive/dvired.sh, 3085
fmtutil-sys,,symbolic link to /usr/share/texlive/texmf-dist/scripts/texlive/fmtutil-sys.sh, 933
fmtutil-user,,symbolic link to /usr/share/texlive/texmf-dist/scripts/texlive/fmtutil-user.sh, 880
fmtutil,,symbolic link to /usr/share/texlive/texmf-dist/scripts/texlive/fmtutil.pl, 49703
kpsetool,,symbolic link to /usr/share/texlive/texmf-dist/scripts/texlive/kpsetool.sh, 3461
kpsewhere,,symbolic link to /usr/share/texlive/texmf-dist/scripts/texlive/kpsewhere.sh, 1445
rungs,,symbolic link to /usr/share/texlive/texmf-dist/scripts/texlive/rungs.tlu, 897
texconfig-dialog,,symbolic link to /usr/share/texlive/texmf-dist/scripts/texlive/texconfig-dialog.sh, 13266
texconfig-sys,,symbolic link to /usr/share/texlive/texmf-dist/scripts/texlive/texconfig-sys.sh, 1042
texconfig,,symbolic link to /usr/share/texlive/texmf-dist/scripts/texlive/texconfig.sh, 44108
texlinks,,symbolic link to /usr/share/texlive/texmf-dist/scripts/texlive/texlinks.sh, 10278
tlmgr,,symbolic link to /usr/share/texlive/texmf-dist/scripts/texlive/tlmgr.pl, 331138
updmap-sys,,symbolic link to /usr/share/texlive/texmf-dist/scripts/texlive/updmap-sys.sh, 929
updmap-user,,symbolic link to /usr/share/texlive/texmf-dist/scripts/texlive/updmap-user.sh, 877
updmap,,symbolic link to /usr/share/texlive/texmf-dist/scripts/texlive/updmap.pl, 87186
thumbpdf,,symbolic link to /usr/share/texlive/texmf-dist/scripts/thumbpdf/thumbpdf.pl, 42887
pygettext3.py,,symbolic link to pygettext3.8.py, 21535
